use#v#1161188,использовать
Mormon#n#11211465,Мормоны
arbitration#n#7165558,третейский суд
softwood#n#15124824,
poison#v#88091,
seine#v#1142610,
adoration#n#1221256,поклонение
aquatint#v#1754476,
bryony#n#12183552,переступень
putrefy#v#400459,гнить
covering_letter#n#6637323,сопроводительное письмо
cleat#v#2357391,
blind_spot#n#5463658,слепая зона
iron#v#1393487,
input#v#1425193,
calk#v#1360894,
shampoo#v#41748,
Cyatheaceae#n#13207929,
Prototheria#n#1874047,Первозвери
personal_representative#n#10437296,
Norman-French#n#6978478,Нормандский язык
totalitarian#n#10736986,тоталитаризм
trap#v#1609852,пасть
power_loading#n#13848827,
rate_of_exchange#n#13347642,валютный курс
deletion#n#6439886,delete
seminary#n#8301915,семинария
storage_cell#n#4335718,
smirch#v#1255165,
shrivel#v#242575,
wattle#v#1520976,
desk_clerk#n#10027649,
stroke#n#14105785,инсульт
cat#v#1414524,
infiltrate#v#2440481,
recess#v#1501511,
Colombian#a#2979163,
ski_run#n#4238637,горнолыжная трасса
degree_centigrade#n#13736596,градус цельсия
defectiveness#n#14495883,
labor_contract#n#6538952,трудовое право
redound#v#2141485,
myometrium#n#5527819,
astrology#n#5786128,астрология
coldness#n#4636961,
barricade#v#1129641,
reap#v#2298109,
abducens_muscle#n#5323957,
axial_muscle#n#5595181,
reprint#v#1739979,
personal_income#n#13280258,
sting#v#1448026,кусать,колоть
Santalaceae#n#12755482,Санталовые
passive_resistance#n#1245263,ненасильственное сопротивление
tonsillitis#n#14380656,острый тонзиллит
verdigris#v#286074,
logogram#n#6853940,логографическое письмо
Esther#n#10981364,Есфирь
inspector#n#10228448,инспектор
apostrophe#n#7116603,апостроф
visit#n#1235407,
plethysmograph#n#3972657,плетизмограф
Samoyedic#n#6972324,
half_hitch#n#3482985,
singular#n#6310906,
Judith#n#10245889,Юдифь
trace#v#2160493,
glare#n#880475,
bugle#v#1729916,
gyrfalcon#n#1614441,кречет
gluon#n#9312708,глюон
illusion#n#5904666,иллюзия
Conodonta#n#1478776,Конодонты
caviar#n#7815555,чёрная икра
teamster#n#10714688,
natural_number#n#13750477,натуральное число
toadfish#n#2551320,
thermodynamics#n#6124185,термодинамика
rest#v#781646,отдохнуть
whore#v#2586662,
Ptolemy#n#11267403,Клавдий Птолемей
pacemaker#n#5396803,электрокардиостимулятор
reflex_arc#n#5471025,рефлекторная дуга
mandate#v#2400745,
granary#n#3457393,амбар
golf_equipment#n#3451776,
letter#v#1696474,
plane#v#1252054,
burn#v#378713,жарить,кипеть
spin#v#1521405,кружиться
open_letter#n#6638108,открытое письмо (жанр публичных выступлений)
hitch#v#1617678,
striped_bass#n#7794079,полосатый лаврак
stake#v#1594861,ставить,поставить
artilleryman#n#9831257,артиллерия
perfume#v#43211,
winnow#v#1889701,
override#n#3871498,
haystack#n#7979822,сено
bounce#v#1407043,
bulldog_clip#n#2919250,
beat#v#1402104,пульсировать,разбить,разбивать
Vesuvius#n#9200780,Везувий
pelagic_bird#n#2060385,пелагиаль
fennel#n#12959864,фенхель обыкновенный
gratefulness#n#7519768,
agglutinogen#n#15053569,
network#n#3826268,сеть
shred#v#1576722,
Pucciniaceae#n#13085438,
filefish#n#2656416,единороговые
indecency#n#4910102,мораль
poker_plant#n#12458274,
boogie#v#1901196,
valproic_acid#n#4526149,вальпроевая кислота
unfurl#v#436434,
circumstantial_evidence#n#6748282,
hook#v#1399444,
square_dance#v#1902886,
psychosexual_development#n#13564767,психосексуальное развитие
water_table#n#9499253,
order#v#278429,приказать,приказывать
anorexia_nervosa#n#14084745,нервная анорексия
diffuse_nebula#n#9289696,туманность
conch#n#1946540,
tug#v#1093709,
goosefish#n#2550878,удильщиковые
nag#v#1770490,
subcontract#v#2466306,
Carthusian_order#n#8166011,Картезианцы
chink#n#9717733,
million#n#13773673,миллион
corner#v#1913268,
figwort#n#12897659,норичник
recessive_allele#n#5445891,доминантность
see#v#2494137,признать,знакомиться,познакомиться,признавать
gasp#n#838759,паралингвистика
blastopore#n#1465756,бластопор
Galveston_Island#n#9167342,
Louisianan#n#9762714,
putoff#n#6772685,
spontaneous_abortion#n#231342,выкидыш
hymn#v#863087,
way#n#5091940,путь
cold_water#n#6731113,
cranial_nerve#n#5483908,черепные нервы
marital_relationship#n#13837242,брачный союз
resonate#v#593432,
gentian_violet#n#14794999,
Cronyn#n#10936077,
hand_over#v#2298282,
silver_bromide#n#15039759,бромид серебра(i)
water#v#2362872,поить,орошать,оросить
endemic#n#14097876,эндемик
dogwood#n#12967609,кизил
superfamily#n#8125270,
bull#v#155947,
carom#v#1601316,
lyric#n#6392349,
fly#v#1454453,развеваться
golden_aster#n#11971980,
mythologist#n#10363600,мифология
monounsaturated_fatty_acid#n#14765653,
night#n#15194806,ночь
dress_uniform#n#3243962,
nose#n#3836602,щипцы для орехов,щелкунчик,ореховка
genealogy#n#6007403,генеалогия
badge#v#1592790,
gaudery#n#6893184,
cradle#v#1558430,
Catholic#a#2932264,
cone#n#11703311,конус
anneal#v#303837,
authorization#n#1140991,авторизация
character#n#5937794,характер
reduplicate#v#1739437,
ejection_seat#n#3272379,катапультируемое кресло
give#v#2204104,доставить,доставить,дарить,передавать,передать,подарить,доставлять,доставлять
truth#n#13979774,истина
command#n#5205065,command
Northumberland#n#8904555,Нортамберленд
phentolamine#n#3928683,фентоламин
preside#v#2448474,
bind_over#v#2501241,
meal_ticket#n#13387601,
putamen#n#5506111,скорлупа
guidepost#n#5857068,
shuffle#n#341289,тасование
unclothe#v#1342585,
cube#n#13753351,куб
arming#n#1159386,
pusher#n#10515140,
alderman#n#9801838,олдермен
sixteenth#n#13870663,xvi век
archive#v#1387292,архивировать
shard#n#4191744,
Pitt#n#11256307,Питт
braid#v#1522360,сплести
authorized_shares#n#13363413,уставный капитал
natural_science#n#6009578,естественные науки
oak#n#12288763,дуб
godwit#n#2036783,веретенники
Pollux#n#9420025,Поллукс
prepositional_phrase#n#6328240,
girdle#v#1470546,опоясывать
localization_of_function#n#6001159,
page_printer#n#3880501,
ignition_switch#n#3566349,
pulse#n#15305913,пульс
criminologist#n#9997972,криминология
verse#v#1706373,
limber#v#1606541,
retreat#v#801045,
Zurvan#n#10826216,Зурванизм
rescue_equipment#n#4084846,спасатель
hyssop_oil#n#12869530,
rest_day#n#15161999,
smack#v#1434512,
sour#n#5724691,вкус
Ficus#n#12421627,Фикус
tennis_stroke#n#567172,
upset#n#349138,
riddle#v#637376,
fully#r#10928,полностью,вполне
bunk#n#2923548,
Bayes#n#10858593,
heroin#n#3521174,героин
avoirdupois#n#13738026,эвердьюпойс
swagman#n#10701616,
stump#v#622051,
cognitive_scientist#n#9954105,когнитивистика
dockside#n#8667559,
negociate#v#2226110,
phenazopyridine#n#3927459,
metabolite#n#15135363,метаболиты
cement#v#1306736,
scale#v#2734263,
attache#n#9840488,атташе
feminize#v#567399,
fastening#n#148415,крепёжные изделия
mallard#n#1850447,кряква
throw_back#v#1515777,
daze#n#7525864,дазе
monoclonal_antibody#n#15054348,моноклональные антитела
let_go#v#2742938,
sack#v#1488777,ограбить
land#n#13270947,
Hominoidea#n#2473703,Человекообразные обезьяны
vowel#n#7129420,гласные
rebate#v#1557975,
ladle#v#1581670,
Bantu#a#3058094,
Caloosahatchee#n#9254268,
iconoclasm#n#5989635,иконоборчество
Dioscorea#n#12108324,Диоскорея
dentine#n#14781561,дентин
Asparagaceae#n#12461128,Спаржевые
minuend#n#13751141,вычитание
cheat#n#755767,
wrap#n#7714527,
Moniliaceae#n#13098893,
earthball#n#12989891,ложнодождевик
hemstitch#v#1334200,
graduation#n#212914,выпускной вечер
spackle#n#15073455,шпатлёвка
haler#n#13703854,
Helicteres#n#12219547,
undescended_testis#n#5533042,крипторхизм
sick_person#n#10615055,
gas_ring#n#3430679,
ridge#n#5611097,кряж
spiciness#n#4999748,
emoticon#n#6290592,эмотикон
trigonometry#n#6021862,тригонометрия
Siraj-ud-daula#n#11323127,
blastocyst#n#1464683,бластоциста
mass_spectroscopy#n#651986,масс-спектрометрия
albinism#n#14175761,альбинизм
neem#n#12717253,ним (дерево)
Lateran_Council#n#8332124,Латеранский собор
whist#n#497178,вист (карточная игра)
jersey#n#3600807,джерси (остров)
Pinaceae#n#11628190,Сосновые
waist_pack#n#4551736,
slave_trade#n#1116394,история рабства
genus_Pyrola#n#12276451,
rubbish#v#1064187,дичь
souse#v#322602,
Jewry#n#8496106,Евреи
anaesthetic#a#3053005,
furcula#n#1897996,вилочка
click#v#1057018,
sulk#n#7566964,
polymath#n#10226696,универсальный человек
population_shift#n#7374520,
arteriosclerosis#n#14131806,
Roman_Catholic#n#9699900,
headbutt#v#1238573,
elbow#v#1877935,локоть
dismay#v#1786469,
splash#v#2191314,
low#n#5104968,low
Lima#n#9002248,Лима
capillarity#n#11453920,капиллярность
luciferin#n#14781190,люциферин
determinant#n#5700384,определитель
wane#v#434731,
Turkish#n#6939575,
roll#n#105229,бортовая качка
hypodermic_syringe#n#3560842,шприц
massage#v#64258,
minor_league#n#8248599,
slat#v#2341680,
spastic#a#3131276,
freak#n#10129212,фрики
ritonavir#n#4102077,
Grimm#n#11036837,Гримм
Chihuahua#n#8760411,Чиуауа
communicator#n#9633690,
barrel#v#1505179,
cascade#v#2075244,
linesman#n#10283628,
crank#v#1598070,
economics#n#6158935,экономика (наука)
roll_up#v#436806,
footfall#n#7398423,
chill#n#14363692,
fruit#v#1656273,
corkscrew#v#2053510,
eviction#n#1196821,
twist#n#535668,твист
space#n#6401196,пространство
kicker#n#10250250,кикер
Helen#n#9623362,Элен
calk#v#70507,
string#v#1361848,
nanny#n#10364831,няня
purine#n#14730910,пурин
sprinkler#n#4296165,
feel_for#v#1825946,
decoy#v#2583840,приманивать
compass_saw#n#3084908,
scale#v#1747963,
shore#v#2716855,
diploid#a#1151125,
protist#n#1390092,протисты
metamorphism#n#13535851,метаморфизм
wallpaper#v#1270676,
sponge#v#1396265,
dimetrodon#n#1725311,диметродоны
commission#v#2480684,
plane#n#13964858,
record_company#n#8495272,лейбл звукозаписи
Caesar#n#10897913,Гай Юлий Цезарь
red_jungle_fowl#n#1794104,банкивская джунглевая курица
Nestorius#n#11224399,Несторий
hexadecimal_notation#n#6824141,шестнадцатеричная система счисления
foil#v#1337757,
indistinctness#n#4711694,
hutch#n#3555469,хатч
opacity#n#11510458,opacity
bubble#v#520309,
toggle#v#1477705,
maceration#n#13531355,мацерация
trump#v#2183598,
oxalate#n#14995479,оксалаты
unabridged_dictionary#n#6431862,
trade#v#2734659,меняться
pop#v#310364,
left#r#389570,л,левый
rabbit#n#7682266,кролики
trademark#v#1004206,
blastomere#n#1462305,бластомер
blade#n#9246498,клинок
government_income#n#13282678,
bowling_alley#n#2885431,
suppress#v#463047,
beat#v#2097668,пульсировать,разбить,разбивать
dedifferentiation#n#13480043,дифференцировка клеток
slang#v#966142,
jitteriness#n#7540999,
back#v#2222477,поддерживать
silversmith#n#10618157,
Aconitum#n#11743238,Борец
updating#n#404991,
bunch_together#v#2031257,
Ascomycota#n#13044052,Аскомицеты
phrase#v#963146,
grass#v#1211645,
ration#n#13307122,рационирование
red-ink#v#510309,
Pongidae#n#2482527,
nafcillin#n#3810033,
meridian#a#2877465,
psychotherapist#n#10509529,психотерапия
dieback#n#14303800,
bicarbonate#n#14799888,гидрокарбонаты
snowball#v#1510798,
attack#v#864347,атаковать
Morgantown#n#9179437,
Helichrysum#n#12000557,Бессмертник
scant#v#2515522,
Celsius_scale#n#13874797,Градус Цельсия
Acheron#n#9209606,Ахерон
cowpea#n#12599374,коровий горох
process#n#5709685,процесс
pneumococcus#n#1383395,пневмококк
rise#v#155355,увеличиваться,увеличиться,вставать,встать,прибыть,прибыть,прибывать
north#n#13853375,север
orpiment#n#14712992,аурипигмент
hearth#n#8599227,очаг
Egyptologist#n#10067630,Египтология
dado#v#2231341,
gatepost#n#3433259,
warm#v#373903,
burn#v#2768426,жарить,кипеть
Anthericum#n#12459905,Венечник
shell#v#198119,
pad#v#322287,
Pennines#n#8814865,Пеннинские горы
henna#v#284424,
assure#v#778313,заверить
loose_off#v#1136801,
splenic_vein#n#5388165,
multimedia#n#6272397,мультимедиа
green_snake#n#1733204,
candelilla#n#12949067,
barb#v#1341863,
drizzle#v#2763433,
extravasation#n#14882945,
pitch_in#v#1175354,
snake#v#1892158,
Pharaoh#n#10440761,Фараон
lesser_omentum#n#5437417,
still#v#584982,
certificate#v#805664,
pattern-bomb#v#1135620,
ground#v#2026205,местность
pul#n#13685445,
zigzag#v#1995776,
cut#v#1758723,резать,сокращать,косить,сократить
minstrel#v#1734097,
basic_dye#n#14797436,сероуглерод
fan_vaulting#n#3326899,
spider_crab#n#1984343,
kinescope#n#3622803,кинорегистрация видео
hay#v#586482,
New_York_Stock_Exchange#n#3828491,Нью-Йоркская фондовая биржа
ride#v#1843480,
saturniid#n#2304104,павлиноглазки
B_cell#n#5459271,B-лимфоциты
stateswoman#n#10671950,государственный деятель
withholding_tax#n#13332390,
nitric_bacteria#n#1364977,
transfuse#v#1857426,
scruple#v#1798206,
steam#v#2774537,
receptiveness#n#4652377,
incoordination#n#5649565,
herd#v#2032462,
re-equip#v#2346487,
lawfulness#n#4817036,право
sledgehammer#v#1419386,
make#v#1649617,заставить,совершать,совершить,снять,разводить,произвести,развести,снимать
midwinter#n#15262871,зимнее солнцестояние
tomahawk#v#1557301,
cosh#v#1404206,
whore#v#1037919,
gin#v#1483657,
surf#v#552688,
camels_hair#n#2945915,
disulfiram#n#3218754,дисульфирам
Vesta#n#9587306,Веста
limit#n#8610212,предел
boardroom#n#2860924,совет директоров
general_practitioner#n#10145546,
piffle#v#106597,
paring#n#9408030,
octahedron#n#13938627,октаэдр
ship#v#1851524,
Daniel#n#6450665,Даниил (пророк)
aortic_valve#n#5401869,аортальный клапан
strip#v#1266223,
business_card#n#6437074,визитная карточка
curb#v#1303523,
ground_snake#n#1739016,
indirect_discourse#n#7153212,
arson#n#379104,поджог
goldsmith#n#10156135,ювелир
color#n#5200606,цвет
oyster#v#1386165,
perithecium#n#12983070,
Niagara#n#9393684,Ниагара
bunker#v#1406932,
onyx#n#14994082,оникс
poison_gas#n#15017945,
toilet_powder#n#4454410,
cardiology#n#6056806,кардиология
wattle#v#1659182,
crackle#n#3130239,
polygenic_disorder#n#14098681,наследственные заболевания
lapwing#n#2027417,чибисы
elbow#n#2470999,локтевой сустав
February#n#15235282,Февраль
filler#n#13698755,филлер
pasqueflower#n#11758003,прострел
route#v#1956609,путь
compulsiveness#n#4633239,
news_bulletin#n#6695239,
Geastraceae#n#13065301,
soot#v#1265034,коптить
rocket_engineer#n#10555691,
dressing_gown#n#3242695,
bittercress#n#11902211,
reserve_assets#n#13351779,
nipple#n#3831328,сосок
port#n#7917065,порт
root#v#358968,
rear_window#n#4067177,окно во двор
melanocyte-stimulating_hormone#n#15098351,меланоцитстимулирующие гормоны
verapamil#n#4535103,верапамил
direct_tax#n#13334486,прямой налог
lunar_month#n#15232668,
ethnologist#n#10085565,этнология
exhibition_hall#n#3308776,конференц-центр
globe_lily#n#12467024,
ketone_group#n#14951075,кетоны
Asteridae#n#11931304,
shaft#v#2367600,
thimbleweed#n#11746092,
move_in#v#1859968,
two-handed_saw#n#4511131,
fish-liver_oil#n#14893186,
Tellima#n#12823747,
hood#v#1339774,
think#n#5794377,мышление (психология)
Orlando#n#9096645,Орландо (город)
selfish_person#n#10596414,
screw_bean#n#11786658,
block#v#2449162,
Manipur#n#8922510,Манипур
urology#n#6074758,урология
indinavir#n#3573610,
sonnet#v#1707472,
paperback_book#n#3892129,обложка
Morse#n#6366866,
colorcast#v#971801,
chalk#v#1694058,
nonstandard#a#2303542,
early#a#820993,ранний
Colorado#n#9272324,Колорадо
printing#n#6690047,книгопечатание
boatbill#n#2013935,
cannon#v#1150453,
nelfinavir#n#3823370,
shuttle_helicopter#n#4219534,
ground#v#2026332,местность
downhill#r#323926,
dogfight#v#1651915,
Cooper_Union#n#3108333,
sidereal_day#n#15233129,звёздное время
fishpaste#n#7872968,
bulimia#n#14080483,нервная булимия
affability#n#4662009,этикет
aerodynamic_lift#n#11442391,подъёмная сила
lory#n#1822989,
roost#n#4115078,
tramway#n#4477048,
picornavirus#n#1340224,пикорнавирусы
toddler#n#10734114,
louse_fly#n#2201184,
cocoa_powder#n#7618786,какао-порошок
townsman#n#10738916,
control#n#832109,контроль
wedding_reception#n#8271797,свадебный пир
walking_shoe#n#4553367,
proportional_counter_tube#n#4019041,
coconut_milk#n#7856648,кокосовое молоко
Setaria#n#12154817,Щетинник
chachalaca#n#1803065,чачалаки
about-face#v#690810,
marriage_of_convenience#n#13988864,фиктивный брак
mefenamic_acid#n#3748022,мефенамовая кислота
coal_gas#n#14709636,коксовый газ
joint#v#2359283,
sawfly#n#2221365,сидячебрюхие
Oaxaca#n#8762583,Оахака (штат)
penicillamine#n#3915954,пеницилламин
league#v#369717,
diapsid#n#1664459,диапсиды
eugenics#n#6052017,евгеника
natural_shape#n#13884885,
siesta#n#860309,сиеста
military_hospital#n#3768517,госпиталь
rennet#n#14762802,реннин
branchiopod_crustacean#n#1997146,
google#v#650417,
bibliography#n#6498467,библиография
pancreatic_duct#n#5394738,главный проток поджелудочной железы
turf_war#n#1170442,
trapeze#n#4482646,
hemolysin#n#14930412,
lord#v#2403996,
swing#v#2542904,качаться,качаться,размахивать,повернуться,качнуться,качнуться
butadiene#n#14936243,бутадиен
silhouette#v#2142756,
spike_lavender#n#12871096,лаванда широколистная
chlorothiazide#n#3026471,
open#v#1349486,раскрыть,открываться,открыться,раскрывать
beeswax#v#1271434,
incoherence#n#14441507,
Freya#n#9603528,Фрейя
Diplopoda#n#1789043,Двупарноногие
inmate#n#10226989,заключённый
meclofenamate#n#3744818,
bounce#n#5028147,
Belgian#n#9713505,Бельгия
Kyyiv#n#9038277,ru:Украинская Советская Республика
restriction_site#n#8641375,сайт рестрикции
plumb_bob#n#3975060,отвес
Homobasidiomycetes#n#13017888,Агарикомицеты
fractional_distillation#n#13505174,фракционированная конденсация
schooner#n#4154356,шхуна
loach#n#1441222,карпообразные
topple#v#2101325,
chick#n#1794683,
tax_rate#n#13330887,налоговая ставка
Pandanaceae#n#12174943,Пандановые
lavish#v#2269409,окружить
Polypodium#n#13193623,Многоножка
shagbark#n#12342390,
mismanagement#n#1136800,
silver_plate#n#4228012,
solferino#n#4978789,сольферино
pencil#v#1692499,
support_column#n#4367885,
temporal_arrangement#n#5051824,
social_psychology#n#6151012,социальная психология
ibuprofen#n#3561461,ибупрофен
self-awareness#n#5684449,
glass#v#188912,
tip#v#512259,
Montmartre#n#8953060,Монмартр
molecular_biology#n#6087638,молекулярная биология
welder#n#10793333,сварщик
allantois#n#1476034,аллантоис
loxapine#n#3699816,
smelling_salts#n#15067966,
Fonda#n#10994025,Фонда
rudderpost#n#4124841,
shellac#v#1273153,
cutback#n#354608,
steamer#n#4316486,
dangerousness#n#4863691,риск
historical_linguistics#n#6178766,дивергенция (лингвистика)
Hebrides#n#8913450,Гебридские острова
potential_energy#n#11514872,потенциальная энергия
classical_ballet#n#530659,классический танец
look_down_on#v#1832012,
rearmament#n#1159871,
Oceanus#n#9597945,Океан (мифология)
dike#v#1590739,
festering#n#13501092,гангрена
Anaheim#n#9084485,Анахайм (Калифорния)
Brussels_carpet#n#2912098,
guard#n#10169801,охрана
pesewa#n#13689255,ганский седи
field#v#817201,область
train#v#1940396,обучать,воспитывать,воспитать,вырастить
increase#n#5116247,
hawkmoth#n#2301193,бражники
sense_of_responsibility#n#5685691,
caparison#v#1674210,
lead_ore#n#14957801,свинец
camp#n#2949268,камп
disco#v#1901399,
alum#n#14652485,квасцы
rack_and_pinion#n#4045685,реечная передача
corporate_investor#n#8092765,
reactor#n#4064958,реактор
divine#v#2112042,гадать
manifesto#n#6739973,манифест
denaturant#n#14734185,
Huxley#n#11089524,
centrosome#n#5454343,клеточный центр
Byzantine#n#9715520,Византийская империя
Palestinian#n#9732753,
graph#v#1758945,
benzodiazepine#n#2834036,бензодиазепины
corral#v#1468827,
beaver#n#2821270,бобры
coastguard#n#8209291,
Murray#n#9386317,Мюррей
pennant#n#3917985,пеннант
alpha_iron#n#14744853,феррит (металлургия)
fruit#n#7309308,плод
Ribes#n#12825626,Смородина
Crecy#n#1279127,Битва при Креси
firm_omelet#n#7858948,
procurement#n#84549,прокьюремент
sphagnum#n#11562588,сфагнум
algophobia#n#14406276,алгофобия
franchise#n#6538802,франшиза
scale#v#1266712,
cloth_cap#n#3053909,
cortical_epilepsy#n#14110108,
last_respects#n#1231839,
folktale#n#7236710,
change#v#109468,мелочь,изменяться,меняться,менять
swage#v#1258938,
resonate#v#2180402,
cyclamen#n#12113846,цикламен
handbell#n#3488313,
number#n#6337519,число
puff#n#7644079,
sound#v#2139513,
spirea#n#12816315,спирея
Malvastrum#n#12204153,
fence#v#1591055,
cream_of_tartar#n#15037836,гидротартрат калия
Kunlun#n#9350787,
tarmacadam#n#15001747,
infidelity#n#4886056,
fellatio#n#856798,минет
malt#n#7905249,солод
Abelard#n#10826921,Пьер Абеляр
ngwee#n#13705805,замбийская квача
anointing#n#714085,елеопомазание
comfort#v#1818782,утешать
Tidewater#n#9074354,
target_practice#n#900123,
hound#v#2007615,
discharge#v#1100154,уволить,сокращать,увольнять,сократить
cement#v#1369356,
migratory_grasshopper#n#2230256,
take_in#v#2498233,
nickel#v#1398317,
reenact#v#1726692,
first_class#n#3354738,первый класс
repaint#v#1689692,
flip#v#1244178,
canker#v#89827,
strangler#n#13144190,
home_economics#n#6158795,домашнее хозяйство
teapot#n#4405179,заварной чайник
easement#n#5186707,сервитут
grand_tour#n#311917,гран-тур
staff_sergeant#n#10664456,штаб-сержант
conditioner#n#626791,
Brownsville#n#9166058,
fear#v#1784548,
conscientiousness#n#4855917,
Lycopodiales#n#13243125,Плауновые (класс)
Tanoan#n#6933274,Кайова-таноанские языки
diazepam#n#3194679,диазепам
stiffness#n#4870119,жёсткость
defervesce#v#572978,
bark#n#7391331,кора
weakling#n#10791304,
debate#v#814242,спорить
word_processing#n#13596131,текстовый процессор
acute_angle#n#13914630,угол
pseudonym#n#6349648,псевдоним
scaffold#n#4148638,строительные леса
gonorrhea#n#14157025,гонорея
design#v#1643256,нарисовать
keepsake#n#3615483,
batting_order#n#6497998,
atropine#n#2757761,атропин
fancy#v#1780389,представлять,полагать,представить
rein#v#1866076,
reserve#v#2503969,оставлять,оставить,резервировать,занять,занимать
Medina#n#9016709,Медина
Guiana#n#8967928,Гвиана
visual_area#n#5497856,
pin#v#1447342,
Kannada#n#6992617,Каннада
gap#v#1596535,
charm#v#778568,
Eumycota#n#13015739,Грибы
bock#n#7903436,бок-бир
list#v#2477646,привести,приводить
air-drop#v#1492516,
curium#n#14660398,кюрий
fuse#v#1140255,
decoder#n#10014936,дешифратор
chetrum#n#13711623,нгултрум
embryonic_cell#n#5455333,бластомер
bubble_gum#n#7615856,
thermostat#v#2517090,
bully_beef#n#7680011,солонина
water_cooler#n#4566452,кулер (аппарат)
job#n#720957,
territoriality#n#1223953,территориальные животные
assemble#v#2604140,
fettuccine#n#7716383,феттуччине
poor_people#n#8196123,
Engels#n#10979215,Энгельс,Фридрих
valediction#n#7258225,
kitchen_sink#n#3626098,
ecology#n#14536664,экология
platitude#n#7168754,
newspaper_columnist#n#10376291,колумнист
cathode_ray#n#11448681,катодный луч
Tribonemaceae#n#1404158,
chair#v#2444885,
nawab#n#10368483,набоб
Wilkes_Land#n#8699926,Земля Уилкса
majority#n#15177022,большинство
Federal_Security_Bureau#n#8502608,ru:Национальный антитеррористический комитет (Россия)
storm_center#n#14002048,
hive#v#1383909,
botulism#n#14092376,ботулизм
patella#n#5285894,надколенник
lyric#v#1702775,
cover#v#2151539,лечь
bulb#n#5234409,луковица
guest#n#10170653,гость
door#n#3226879,дверь
tularemia#n#14299862,туляремия
fiddle#v#1737548,
initial#v#999352,
Houyhnhnms#n#5637928,Гуигнгнм
family#n#7987168,семья
production_line#n#4014761,поточная линия
delight#v#1193481,радость
optical_phenomenon#n#11511038,
functionalism#n#6149505,функционализм
westerner#n#10793997,
toolbox#n#4459886,
toboggan#n#4450567,тобогган
vocational_training#n#5765899,профессиональное образование
electrification#n#1049115,электрификация
Iraqi_Kurdistan#n#9061735,Иракский Курдистан
pleasantness#n#7507310,удовольствие
heuristic#n#5856483,эвристика
kern#v#2371104,
chickpea#n#12536216,нут (растение)
marksman#n#10314614,
gestation#n#5780212,беременность
tip#v#2206915,
menarche#n#7340362,менархе
resolution#n#5790881,
virology#n#6075190,вирусология
centralization#n#1240437,централизация
signaling_device#n#4224785,
nestle#v#1427999,
ironing#n#3591044,глаженье
slot#n#14603168,слот
squire#v#2030049,
sleeping_sickness#n#14367140,
winch#v#1595227,
antihemophilic_factor#n#15096251,фактор свёртывания крови viii
neurobiology#n#6088061,нейробиология
tourney#v#1125585,
yoke#v#1494709,
raven#v#1216472,
spill#v#2073816,пролить,проливать
ring_rot_bacteria#n#1363754,
pyrethrum#n#12042851,пиретрум
order#n#6665623,
great_granddaughter#n#10165000,
Firth_of_Forth#n#9303637,Ферт-оф-Форт
coccygeal_nerve#n#5577208,копчиковый нерв
labia_minora#n#5530649,малые половые губы
caste_system#n#8395429,каста
Falconiformes#n#1607266,Соколообразные
complementation#n#13822630,комплемент
hometown#n#8689382,
resilience#n#7365167,
male_reproductive_gland#n#5532903,
postulate#n#6766013,аксиома
Pius_VI#n#11257265,Пий VI
pay_back#v#1156413,
stowage#n#813582,
slow_virus#n#1344051,
salaam#v#901610,
Basidiomycota#n#13016985,Базидиомицеты
scrofula#n#14167729,золотуха
article_of_commerce#n#2748096,
poundal#n#13669615,
spoilage#n#13581620,трупные явления
pearlite#n#15002404,перлит (металловедение)
tribesman#n#10748276,племя
Swedish#n#6967665,
buffet#n#2915411,фуршет
half_sister#n#10622650,сиблинги
coccobacillus#n#1353635,коккобациллы
footman#n#10121750,
khoum#n#13711980,мавританский хумс
agal#n#2686942,икаль
brattice#v#2341371,
scarf_joint#n#4151306,
fox_squirrel#n#2359450,лисья белка
binocular_microscope#n#2844744,оптический микроскоп
laser-guided_bomb#n#3648805,бомба с лазерным наведением
lunisolar_calendar#n#15203593,лунно-солнечный календарь
poise#n#13737345,пуаз
cradle#v#1880728,
cream#v#1367186,
prism#n#4011716,призма (оптика)
retail#v#2734445,
concretion#n#13472246,конкреция
catecholamine#n#14832099,катехоламины
poliovirus#n#1340375,полиовирус
positive_charge#n#11455985,электрический заряд
inanity#n#5181550,
muchness#n#5106924,
schedule#v#796643,
dock#v#2089989,
artfulness#n#4883900,
dress_code#n#6681356,дресс-код
currentness#n#5057530,
sigh#v#987832,
catch#v#2516571,ловить
faithful#n#8240396,
mestranol#n#14775395,
Delilah#n#10948867,Далила
wreathe#v#1519597,
view_angle#n#13942092,угол изображения объектива
grade#v#659399,
bushing#n#2928634,
overture#n#7054566,увертюра
emptiness#n#14478672,
easy#r#149175,плавный,лёгкий,легко
mackintosh#n#3709129,макинтош (одежда)
water_ski#v#1944107,
camas#n#12469801,камас
return#v#1435792,возвращаться,платить,возвратиться
fertility_drug#n#3334825,
top#v#1324169,
August#n#15237251,Август
conciliator#n#9971642,
thioridazine#n#4432397,тиоридазин
genus_Arbutus#n#12250663,
lighter#n#3671917,зажигалка
Thursday#n#15189401,ru:Рыбный день
account#v#2270039,
prompter#n#10501999,суфлёр
genetic_counseling#n#6664047,медико-генетическое консультирование
columnist#n#9958612,колумнист
equilibrium_constant#n#13610884,константа равновесия
signpost#v#924291,
fairy_bluebird#n#1596645,
rattle#v#1894619,
impersonator#n#10219984,
expressiveness#n#4826925,
superior_court#n#8352678,высший суд
denseness#n#5653699,
